date,description,amount,type,category
19 Jun 2025,Transfer from TATIANA ALVES CORREA CHAGAS,10.0,income,Transfer
20 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
20 Jun 2025,To Holiday,5.0,expense,Transfer
20 Jun 2025,To Theo new house,5.0,expense,Transfer
20 Jun 2025,More4Less,6.0,expense,Uncategorized
20 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,0.1,income,Savings
20 Jun 2025,Pocket Withdrawal,10.0,expense,Savings
21 Jun 2025,Transfer from LHEANDRA OLIVEIRA DE SOUSA,45.0,income,Transfer
21 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
21 Jun 2025,To Holiday,5.0,expense,Transfer
21 Jun 2025,To Theo new house,5.0,expense,Transfer
21 Jun 2025,Woodie's,8.99,expense,Uncategorized
21 Jun 2025,Ckns,20.0,expense,Uncategorized
22 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
22 Jun 2025,To Holiday,5.0,expense,Transfer
22 Jun 2025,To Theo new house,5.0,expense,Transfer
22 Jun 2025,Pocket Withdrawal,35.0,expense,Savings
22 Jun 2025,From Theo new house,90.0,income,Transfer
22 Jun 2025,From Holiday,90.0,income,Transfer
22 Jun 2025,From Holiday,10.0,income,Transfer
22 Jun 2025,To Theo new house,100.0,expense,Transfer
22 Jun 2025,To Holiday,100.0,expense,Transfer
23 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
23 Jun 2025,Payment from AIRBNB PAYMENTS LUXEMBOURG S.A.,91.49,income,Transfer
23 Jun 2025,Payment from AIRBNB PAYMENTS LUXEMBOURG S.A.,72.23,income,Transfer
23 Jun 2025,To Holiday,200.0,expense,Transfer
23 Jun 2025,From Holiday,100.0,income,Transfer
23 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,5.1,income,Savings
23 Jun 2025,From Theo new house,80.0,income,Transfer
23 Jun 2025,To Holiday,5.0,expense,Transfer
24 Jun 2025,IKEA,150.1,expense,Uncategorized
24 Jun 2025,Amazon,18.49,expense,Uncategorized
24 Jun 2025,From Holiday,400.0,income,Transfer
24 Jun 2025,Ultra plan fee,45.0,expense,Uncategorized
24 Jun 2025,Plan termination refund,15.0,expense,Uncategorized
24 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
24 Jun 2025,To Holiday,5.0,expense,Transfer
24 Jun 2025,To Theo new house,5.0,expense,Transfer
25 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
25 Jun 2025,To Holiday,5.0,expense,Transfer
25 Jun 2025,To Theo new house,5.0,expense,Transfer
25 Jun 2025,Transfer from Revolut user,60.0,income,Transfer
25 Jun 2025,Transfer from ANNA CAROLINA STAFUZZA,50.0,income,Transfer
25 Jun 2025,To Holiday,230.0,expense,Transfer
25 Jun 2025,To Theo new house,40.0,expense,Transfer
26 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
26 Jun 2025,Pocket Withdrawal,30.0,expense,Savings
26 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
26 Jun 2025,Pocket Withdrawal,10.0,expense,Savings
27 Jun 2025,Circle K Gas Station,20.0,expense,Uncategorized
27 Jun 2025,Irish National Lottery,10.0,expense,Uncategorized
27 Jun 2025,Transfer from JOYCE DE OLIVEIRA ALAMBERT,50.0,income,Transfer
27 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
27 Jun 2025,To Holiday,5.0,expense,Transfer
27 Jun 2025,To Theo new house,5.0,expense,Transfer
28 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
28 Jun 2025,To Holiday,5.0,expense,Transfer
28 Jun 2025,To Theo new house,5.0,expense,Transfer
28 Jun 2025,Pocket Withdrawal,10.0,expense,Savings
29 Jun 2025,Temu,27.48,expense,Uncategorized
30 Jun 2025,From Theo new house,80.0,income,Transfer
30 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
30 Jun 2025,Google Pay top-up by *8687,125.0,expense,Transfer
30 Jun 2025,From Holiday,100.0,income,Transfer
30 Jun 2025,To Holiday,5.0,expense,Transfer
30 Jun 2025,To Theo new house,5.0,expense,Transfer
30 Jun 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
30 Jun 2025,Iclasspro,170.0,expense,Uncategorized
1 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
1 Jul 2025,Google Pay top-up by *8687,140.0,expense,Transfer
1 Jul 2025,To Holiday,180.0,expense,Transfer
1 Jul 2025,To Holiday,5.0,expense,Transfer
1 Jul 2025,To Allianz,210.33,expense,Transfer
1 Jul 2025,Circle K Gas Station,20.0,expense,Uncategorized
1 Jul 2025,From Holiday,140.0,income,Transfer
1 Jul 2025,Transfer to LUDMILA ROUMILLAC FERREIRA SOARES,140.0,expense,Transfer
2 Jul 2025,Payment from AIRBNB PAYMENTS LUXEMBOURG S.A.,149.28,income,Transfer
2 Jul 2025,To Theo new house,150.0,expense,Transfer
3 Jul 2025,Pocket Withdrawal,20.0,expense,Savings
3 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,3.1,income,Savings
3 Jul 2025,Google Pay top-up by *8687,65.0,expense,Transfer
3 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
3 Jul 2025,Transfer from TAMY ARAUJO KOBAYASHI,50.0,income,Transfer
3 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
3 Jul 2025,To Holiday,5.0,expense,Transfer
3 Jul 2025,To Theo new house,5.0,expense,Transfer
4 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
4 Jul 2025,To Holiday,5.0,expense,Transfer
4 Jul 2025,To Theo new house,5.0,expense,Transfer
4 Jul 2025,Circle K Gas Station,19.69,expense,Uncategorized
4 Jul 2025,Euro Giant,7.5,expense,Uncategorized
4 Jul 2025,Transfer from JESSE' MORELATTO BENATO,50.0,income,Transfer
4 Jul 2025,To Holiday,50.0,expense,Transfer
4 Jul 2025,To Theo new house,50.0,expense,Transfer
5 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
5 Jul 2025,To Holiday,5.0,expense,Transfer
5 Jul 2025,To Theo new house,5.0,expense,Transfer
5 Jul 2025,Pocket Withdrawal,23.0,expense,Savings
6 Jul 2025,From Theo new house,10.0,income,Transfer
6 Jul 2025,Temu,36.42,expense,Uncategorized
6 Jul 2025,From Theo new house,100.0,income,Transfer
6 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,9.5,income,Savings
6 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
6 Jul 2025,Transfer from JESSE' MORELATTO BENATO,50.0,income,Transfer
7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,8.5,income,Savings
7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
7 Jul 2025,Pocket Withdrawal,30.0,expense,Savings
7 Jul 2025,To Holiday,5.0,expense,Transfer
7 Jul 2025,To Theo new house,5.0,expense,Transfer
7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,3.0,income,Savings
7 Jul 2025,From Theo new house,30.0,income,Transfer
7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,2.5,income,Savings
7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
7 Jul 2025,Circle K Gas Station,52.59,expense,Uncategorized
7 Jul 2025,Lidl,36.05,expense,Uncategorized
7 Jul 2025,To Ianara Fernandes,10.0,expense,Transfer
7 Jul 2025,From Theo new house,85.0,income,Transfer
7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,3.5,income,Savings
7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,10.0,income,Savings
7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,0.1,income,Savings
7 Jul 2025,Apple Pay top-up by *5361,55.0,expense,Transfer
7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,1.5,income,Savings
7 Jul 2025,Pocket Withdrawal,34.0,expense,Savings
7 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,3.5,income,Savings
8 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,5.0,income,Savings
8 Jul 2025,From Holiday,50.0,income,Transfer
8 Jul 2025,Transfer to Revolut user,40.0,expense,Transfer
8 Jul 2025,To Holiday,5.0,expense,Transfer
8 Jul 2025,To Theo new house,5.0,expense,Transfer
8 Jul 2025,Mcdonald's,7.85,expense,Uncategorized
8 Jul 2025,Bookstation,20.0,expense,Uncategorized
8 Jul 2025,Pocket Withdrawal,8.0,expense,Savings
8 Jul 2025,From Holiday,100.0,income,Transfer
8 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,3.0,income,Savings
8 Jul 2025,Tuthills,12.99,expense,Uncategorized
8 Jul 2025,More4Less,3.5,expense,Uncategorized
8 Jul 2025,GoCar,0.5,expense,Uncategorized
8 Jul 2025,GoCar,28.15,expense,Uncategorized
8 Jul 2025,GoCar,3.7,expense,Uncategorized
8 Jul 2025,GoCar,3.7,expense,Uncategorized
8 Jul 2025,GoCar,13.75,expense,Uncategorized
8 Jul 2025,GoCar,11.5,expense,Uncategorized
8 Jul 2025,GoCar,11.65,expense,Uncategorized
8 Jul 2025,GoCar,80.65,expense,Uncategorized
8 Jul 2025,Transfer from ALEKSA LUDMILLA CAMPOS,50.0,income,Transfer
8 Jul 2025,From Holiday,150.0,income,Transfer
8 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,6.5,income,Savings
8 Jul 2025,To pocket EUR Ia saves for holidays etc from EUR,3.0,income,Savings
8 Jul 2025,Pocket Withdrawal,13.2,expense,Savings
8 Jul 2025,To Theo new house,3.0,expense,Transfer
8 Jul 2025,Transfer from SARA MARTINS DE SOUZA OLIVEIRA,85.0,income,Transfer
8 Jul 2025,To Theo new house,3.0,expense,Transfer
8 Jul 2025,To Theo new house,3.0,expense,Transfer
8 Jul 2025,To Theo new house,7.0,expense,Transfer
9 Jul 2025,To Theo new house,3.0,expense,Transfer
9 Jul 2025,From Theo new house,20.0,income,Transfer
9 Jul 2025,From Holiday,200.0,income,Transfer
9 Jul 2025,To Theo new house,0.1,expense,Transfer
9 Jul 2025,To Holiday,5.0,expense,Transfer
9 Jul 2025,To Theo new house,5.0,expense,Transfer
9 Jul 2025,NorthLink M1,2.3,expense,Uncategorized
9 Jul 2025,Junos Coffee,3.0,expense,Uncategorized
9 Jul 2025,Circle K Gas Station,15.7,expense,Uncategorized
9 Jul 2025,Southside Motor Factors,248.35,expense,Transfer
9 Jul 2025,NorthLink M1,2.3,expense,Uncategorized
9 Jul 2025,NorthLink M1,2.3,expense,Uncategorized
9 Jul 2025,GoCar,3.7,expense,Uncategorized
9 Jul 2025,GoCar,3.7,expense,Uncategorized
9 Jul 2025,GoCar,3.7,expense,Uncategorized
9 Jul 2025,GoCar,3.7,expense,Uncategorized
9 Jul 2025,GoCar,0.5,expense,Uncategorized
9 Jul 2025,To Theo new house,10.0,expense,Transfer
10 Jul 2025,To Holiday,34.0,expense,Transfer
10 Jul 2025,D Nail,45.0,expense,Uncategorized
10 Jul 2025,Transfer from GIUSEPE TARGINO DE SOUZA,45.0,income,Transfer
10 Jul 2025,To Holiday,45.0,expense,Transfer
10 Jul 2025,Southside Motor Factors,104.99,expense,Transfer
10 Jul 2025,GoCar,3.7,expense,Uncategorized
10 Jul 2025,GoCar,108.25,expense,Uncategorized
11 Jul 2025,From Holiday,30.0,income,Transfer
11 Jul 2025,From Theo new house,19.0,income,Transfer
11 Jul 2025,From Holiday,15.0,income,Transfer
11 Jul 2025,To Theo new house,6.5,expense,Transfer
11 Jul 2025,To Holiday,5.0,expense,Transfer
11 Jul 2025,To Theo new house,5.0,expense,Transfer
12 Jul 2025,Transfer from PAOLA RECH,20.0,income,Transfer
12 Jul 2025,From Theo new house,12.0,income,Transfer
12 Jul 2025,Transfer from WENDER COSTA SILVA,55.0,income,Transfer
12 Jul 2025,To Holiday,55.0,expense,Transfer
12 Jul 2025,Circle K Gas Station,29.09,expense,Uncategorized
13 Jul 2025,To EUR,10.0,expense,Transfer
13 Jul 2025,To Theo new house,3.5,expense,Transfer
13 Jul 2025,Mcdonald's,18.35,expense,Uncategorized
13 Jul 2025,Circle K Gas Station,30.0,expense,Uncategorized
13 Jul 2025,From Holiday,20.0,income,Transfer
14 Jul 2025,Circle K Gas Station,20.0,expense,Uncategorized
14 Jul 2025,From Holiday,100.0,income,Transfer
14 Jul 2025,To Ianara Fernandes,100.0,expense,Transfer
14 Jul 2025,Mcdonald's,5.65,expense,Uncategorized
15 Jul 2025,Top-up by *****,65.0,expense,Transfer
15 Jul 2025,To Holiday,5.0,expense,Transfer
15 Jul 2025,To Theo new house,5.0,expense,Transfer
15 Jul 2025,Transfer from LHEANDRA OLIVEIRA DE SOUSA,40.0,income,Transfer
16 Jul 2025,Payment from AIRBNB PAYMENTS LUXEMBOURG S.A.,105.94,income,Transfer
16 Jul 2025,To Theo new house,10.0,expense,Transfer
16 Jul 2025,To Theo new house,10.0,expense,Transfer
16 Jul 2025,To Holiday,5.0,expense,Transfer
16 Jul 2025,To Theo new house,5.0,expense,Transfer
16 Jul 2025,To Ianara Fernandes,135.0,expense,Transfer
17 Jul 2025,Google Pay top-up by *8687,240.0,expense,Transfer
17 Jul 2025,To Holiday,240.0,expense,Transfer
17 Jul 2025,From Theo new house,20.0,income,Transfer
17 Jul 2025,To Theo new house,1.5,expense,Transfer
17 Jul 2025,To Holiday,5.0,expense,Transfer
17 Jul 2025,Circle K Gas Station,20.0,expense,Uncategorized
17 Jul 2025,Circle K Gas Station,8.5,expense,Uncategorized
17 Jul 2025,Mcdonald's,8.65,expense,Uncategorized
18 Jul 2025,Transfer from NATHALIA MARTINS AMERICANO,45.0,income,Transfer
18 Jul 2025,To Theo new house,10.0,expense,Transfer
18 Jul 2025,Lidl,12.85,expense,Uncategorized
18 Jul 2025,Transfer from ANA LUIZA PEREIRA PUCCINI,60.0,income,Transfer
18 Jul 2025,To Holiday,5.0,expense,Transfer
18 Jul 2025,To Theo new house,5.0,expense,Transfer
18 Jul 2025,To Theo new house,10.0,expense,Transfer
19 Jul 2025,Circle K Gas Station,25.0,expense,Uncategorized
19 Jul 2025,Circle K Gas Station,35.0,expense,Uncategorized
19 Jul 2025,To Theo new house,7.7,expense,Transfer
19 Jul 2025,To Holiday,5.0,expense,Transfer
19 Jul 2025,From Theo new house,40.0,income,Transfer
19 Jul 2025,To Theo new house,9.0,expense,Transfer
19 Jul 2025,Transfer from RAFAELA DAVILA RODRIGUES,40.0,income,Transfer
19 Jul 2025,To Holiday,40.0,expense,Transfer
19 Jul 2025,To Theo new house,3.5,expense,Transfer
19 Jul 2025,To Theo new house,5.0,expense,Transfer
19 Jul 2025,To Theo new house,2.1,expense,Transfer
20 Jul 2025,Shopify,1.23,expense,Uncategorized
20 Jul 2025,Boots,5.79,expense,Uncategorized
20 Jul 2025,From Theo new house,20.0,income,Transfer
20 Jul 2025,To Holiday,5.0,expense,Transfer
20 Jul 2025,To Theo new house,5.0,expense,Transfer
20 Jul 2025,Centra,7.1,expense,Uncategorized
20 Jul 2025,Mcdonald's,5.65,expense,Uncategorized
20 Jul 2025,From Theo new house,12.0,income,Transfer
20 Jul 2025,From Holiday,11.0,income,Transfer
20 Jul 2025,To Theo new house,1.6,expense,Transfer
21 Jul 2025,Tesco,22.84,expense,Uncategorized
21 Jul 2025,To Holiday,5.0,expense,Transfer
21 Jul 2025,To Theo new house,5.0,expense,Transfer
21 Jul 2025,From Holiday,100.0,income,Transfer
21 Jul 2025,To Theo new house,5.0,expense,Transfer
21 Jul 2025,To Theo new house,5.0,expense,Transfer
21 Jul 2025,To Theo new house,10.0,expense,Transfer
21 Jul 2025,Payment from WISE,441.58,income,Transfer
21 Jul 2025,To Holiday,445.0,expense,Transfer
22 Jul 2025,From Holiday,100.0,income,Transfer
22 Jul 2025,To Theo new house,4.8,expense,Transfer
22 Jul 2025,From Theo new house,20.0,income,Transfer
22 Jul 2025,From Holiday,1050.0,income,Transfer
22 Jul 2025,From Theo new house,12.0,income,Transfer
22 Jul 2025,To Holiday,5.0,expense,Transfer
22 Jul 2025,To Theo new house,5.0,expense,Transfer
22 Jul 2025,Circle K Gas Station,50.0,expense,Uncategorized
22 Jul 2025,Liffey Valley parking,2.5,expense,Uncategorized
22 Jul 2025,Penneys,27.5,expense,Uncategorized
22 Jul 2025,Temu,41.52,expense,Uncategorized
22 Jul 2025,Temu,73.84,expense,Uncategorized
22 Jul 2025,To Theo new house,9.9,expense,Transfer
22 Jul 2025,Google Pay top-up by *8687,100.0,expense,Transfer
22 Jul 2025,From Theo new house,14.0,income,Transfer
23 Jul 2025,To Theo new house,3.2,expense,Transfer
23 Jul 2025,From Theo new house,4.0,income,Transfer
23 Jul 2025,From Holiday,5.0,income,Transfer
23 Jul 2025,To Holiday,5.0,expense,Transfer
23 Jul 2025,To Theo new house,5.0,expense,Transfer
23 Jul 2025,Dunnes Stores,56.01,expense,Transfer
23 Jul 2025,To Theo new house,8.0,expense,Transfer
23 Jul 2025,Google Pay top-up by *8687,100.0,expense,Transfer
23 Jul 2025,To Theo new house,10.0,expense,Transfer
24 Jul 2025,Ultra plan fee,45.0,expense,Uncategorized
24 Jul 2025,Transfer from THIAGO TIZOTTI,50.0,income,Transfer
24 Jul 2025,Clayton Hotels,16.0,expense,Transfer
24 Jul 2025,Booking.com,1059.68,expense,Uncategorized
24 Jul 2025,Transfer from Revolut user,65.0,income,Transfer
24 Jul 2025,To Holiday,5.0,expense,Transfer
24 Jul 2025,To Theo new house,5.0,expense,Transfer
24 Jul 2025,To Theo new house,100.0,expense,Transfer
24 Jul 2025,To Holiday,50.0,expense,Transfer
24 Jul 2025,BDS Vending,2.2,expense,Uncategorized
25 Jul 2025,Iclasspro,34.0,expense,Uncategorized
25 Jul 2025,Top-up by *****,65.0,expense,Transfer
25 Jul 2025,To Theo new house,50.0,expense,Transfer
25 Jul 2025,To Holiday,50.0,expense,Transfer
25 Jul 2025,To Holiday,5.0,expense,Transfer
25 Jul 2025,From Holiday,30.0,income,Transfer
25 Jul 2025,To Theo new house,0.6,expense,Transfer
25 Jul 2025,To Theo new house,5.0,expense,Transfer
25 Jul 2025,Google Pay top-up by *8687,170.0,expense,Transfer
25 Jul 2025,From Theo new house,50.0,income,Transfer
26 Jul 2025,Temu,25.94,expense,Uncategorized
26 Jul 2025,Iclasspro,170.0,expense,Uncategorized
26 Jul 2025,From Theo new house,50.0,income,Transfer
26 Jul 2025,To Theo new house,3.1,expense,Transfer
26 Jul 2025,Circle K Gas Station,50.0,expense,Uncategorized
26 Jul 2025,From Theo new house,20.0,income,Transfer
27 Jul 2025,Transfer from ALINE ROCKERT MARQUES GUEDES,55.0,income,Transfer
27 Jul 2025,Transfer from ISADORA SILVA ARAUJO,30.0,income,Transfer
27 Jul 2025,ALDI,40.69,expense,Uncategorized
27 Jul 2025,To Theo new house,6.7,expense,Transfer
27 Jul 2025,Temu,45.33,expense,Uncategorized
27 Jul 2025,Transfer from WENDER COSTA SILVA,55.0,income,Transfer
28 Jul 2025,Transfer from Mariana Rockert Marques,55.0,income,Transfer
28 Jul 2025,To Theo new house,8.0,expense,Transfer
28 Jul 2025,To Theo new house,8.5,expense,Transfer
29 Jul 2025,Amazon,31.2,expense,Uncategorized
29 Jul 2025,To Theo new house,5.3,expense,Transfer
29 Jul 2025,To Holiday,5.0,expense,Transfer
29 Jul 2025,To Theo new house,5.0,expense,Transfer
30 Jul 2025,Dunnes Stores,34.47,expense,Transfer
30 Jul 2025,Payment from AIRBNB PAYMENTS LUXEMBOURG S.A.,192.62,income,Transfer
30 Jul 2025,To Holiday,5.0,expense,Transfer
30 Jul 2025,To Theo new house,5.0,expense,Transfer
31 Jul 2025,Amazon,17.15,expense,Uncategorized
31 Jul 2025,To Theo new house,200.0,expense,Transfer
31 Jul 2025,Transfer from MARIANA PACHECO ARAUJO,70.0,income,Transfer
31 Jul 2025,Top-up by *****,65.0,expense,Transfer
31 Jul 2025,From Holiday,90.0,income,Transfer
31 Jul 2025,To Holiday,5.0,expense,Transfer
31 Jul 2025,To Theo new house,5.0,expense,Transfer
1 Aug 2025,To Theo new house,10.0,expense,Transfer
1 Aug 2025,To Theo new house,1.5,expense,Transfer
1 Aug 2025,To Holiday,5.0,expense,Transfer
1 Aug 2025,To Theo new house,5.0,expense,Transfer
1 Aug 2025,From Theo new house,50.0,income,Transfer
1 Aug 2025,To Theo new house,4.5,expense,Transfer
1 Aug 2025,To Allianz,210.33,expense,Transfer
1 Aug 2025,Apple Pay top-up by *8229,45.0,expense,Transfer
2 Aug 2025,To Theo new house,10.0,expense,Transfer
2 Aug 2025,To Holiday,5.0,expense,Transfer
2 Aug 2025,To Theo new house,5.0,expense,Transfer
2 Aug 2025,Circle K Gas Station,11.54,expense,Uncategorized
2 Aug 2025,Applegreen,10.85,expense,Uncategorized
2 Aug 2025,Transfer from Revolut user,60.0,income,Transfer
2 Aug 2025,Google Pay top-up by *8687,200.0,expense,Transfer
2 Aug 2025,To Theo new house,150.0,expense,Transfer
2 Aug 2025,To Holiday,100.0,expense,Transfer
3 Aug 2025,Applegreen,1.0,expense,Uncategorized
3 Aug 2025,To Holiday,5.0,expense,Transfer
3 Aug 2025,To Theo new house,5.0,expense,Transfer
3 Aug 2025,Transfer from ALLANA BRUNA BONINSENHA,45.0,income,Transfer
3 Aug 2025,Circle K Gas Station,65.0,expense,Uncategorized
4 Aug 2025,Transfer from FLAVIA HELENA NEWELL,60.0,income,Transfer
4 Aug 2025,To Holiday,5.0,expense,Transfer
4 Aug 2025,To Theo new house,5.0,expense,Transfer
4 Aug 2025,To Theo new house,50.0,expense,Transfer
4 Aug 2025,To Holiday,30.0,expense,Transfer
5 Aug 2025,To Holiday,5.0,expense,Transfer
5 Aug 2025,To Theo new house,5.0,expense,Transfer
5 Aug 2025,From Holiday,100.0,income,Transfer
5 Aug 2025,To Theo new house,7.8,expense,Transfer
5 Aug 2025,From Holiday,60.0,income,Transfer
5 Aug 2025,To Theo new house,6.0,expense,Transfer
6 Aug 2025,Dunnes Stores,22.22,expense,Transfer
6 Aug 2025,To Holiday,5.0,expense,Transfer
6 Aug 2025,To Theo new house,5.0,expense,Transfer
6 Aug 2025,Foxhunter,110.4,expense,Uncategorized
7 Aug 2025,To Holiday,5.0,expense,Transfer
7 Aug 2025,To Theo new house,5.0,expense,Transfer
7 Aug 2025,From Theo new house,250.0,income,Transfer
7 Aug 2025,To Theo new house,10.0,expense,Transfer
7 Aug 2025,To Theo new house,5.0,expense,Transfer
7 Aug 2025,Liffey Valley Clinic,215.0,expense,Uncategorized
7 Aug 2025,From Theo new house,50.0,income,Transfer
7 Aug 2025,To Theo new house,0.3,expense,Transfer
7 Aug 2025,From Holiday,15.0,income,Transfer
7 Aug 2025,To Theo new house,5.3,expense,Transfer
8 Aug 2025,Smyths Toys Superstores,57.97,expense,Transfer
8 Aug 2025,Transfer from WENDER COSTA SILVA,55.0,income,Transfer
8 Aug 2025,Liffey Valley parking,2.5,expense,Uncategorized
8 Aug 2025,To Holiday,5.0,expense,Transfer
8 Aug 2025,To Theo new house,5.0,expense,Transfer
8 Aug 2025,From Theo new house,40.0,income,Transfer
8 Aug 2025,To Theo new house,1.1,expense,Transfer
8 Aug 2025,Transfer from MARIA INEZ DOS SANTOS,70.0,income,Transfer
8 Aug 2025,To Theo new house,10.0,expense,Transfer
9 Aug 2025,Transfer from JESSE' MORELATTO BENATO,50.0,income,Transfer
9 Aug 2025,To Theo new house,60.0,expense,Transfer
9 Aug 2025,To Holiday,40.0,expense,Transfer
9 Aug 2025,To Holiday,5.0,expense,Transfer
9 Aug 2025,To Theo new house,5.0,expense,Transfer
9 Aug 2025,From Theo new house,90.0,income,Transfer
9 Aug 2025,To Theo new house,5.0,expense,Transfer
9 Aug 2025,To Theo new house,1.2,expense,Transfer
9 Aug 2025,From Holiday,5.0,income,Transfer
9 Aug 2025,To Theo new house,1.7,expense,Transfer
10 Aug 2025,Transfer from FLAVIA HELENA NEWELL,65.0,income,Transfer
10 Aug 2025,To Holiday,5.0,expense,Transfer
10 Aug 2025,To Theo new house,5.0,expense,Transfer
10 Aug 2025,Zenklub.com,17.47,expense,Uncategorized
10 Aug 2025,To Theo new house,30.0,expense,Transfer
10 Aug 2025,To Holiday,20.0,expense,Transfer
10 Aug 2025,Mister Softee,2.0,expense,Uncategorized
10 Aug 2025,Temu,81.5,expense,Uncategorized
10 Aug 2025,Temu,1.88,expense,Uncategorized
10 Aug 2025,Temu,1.83,expense,Uncategorized
10 Aug 2025,Amazon,86.89,expense,Uncategorized
11 Aug 2025,From Holiday,50.0,income,Transfer
11 Aug 2025,To Holiday,5.0,expense,Transfer
11 Aug 2025,From Theo new house,49.0,income,Transfer
11 Aug 2025,From Holiday,5.0,income,Transfer
11 Aug 2025,Smyths Toys Superstores,9.99,expense,Transfer
11 Aug 2025,To Theo new house,5.0,expense,Transfer
11 Aug 2025,Transfer from JESSE' MORELATTO BENATO,50.0,income,Transfer
12 Aug 2025,To Holiday,5.0,expense,Transfer
12 Aug 2025,To Theo new house,5.0,expense,Transfer
12 Aug 2025,Circle K Gas Station,50.0,expense,Uncategorized
12 Aug 2025,From Holiday,5.0,income,Transfer
12 Aug 2025,Transfer to LUDMILA ROUMILLAC FERREIRA SOARES,50.0,expense,Transfer
13 Aug 2025,Payment from AIRBNB PAYMENTS LUXEMBOURG S.A.,192.62,income,Transfer
13 Aug 2025,To Holiday,5.0,expense,Transfer
13 Aug 2025,To Theo new house,5.0,expense,Transfer
13 Aug 2025,Transfer from KARINA TEDESCO ALVES,55.0,income,Transfer
13 Aug 2025,Motor Tax Online,53.0,expense,Transfer
13 Aug 2025,To Theo new house,1.5,expense,Transfer
13 Aug 2025,Transfer from LIZANDRA RIBEIRO CAVALCANTE,60.0,income,Transfer
13 Aug 2025,To Theo new house,89.0,expense,Transfer
13 Aug 2025,To Holiday,100.0,expense,Transfer
14 Aug 2025,To Holiday,5.0,expense,Transfer
14 Aug 2025,To Theo new house,5.0,expense,Transfer
14 Aug 2025,From Holiday,10.0,income,Transfer
14 Aug 2025,From Holiday,20.0,income,Transfer
14 Aug 2025,To Theo new house,10.0,expense,Transfer
14 Aug 2025,Namecheap,9.85,expense,Uncategorized
15 Aug 2025,D Nail,95.0,expense,Uncategorized
15 Aug 2025,To Holiday,5.0,expense,Transfer
15 Aug 2025,To Theo new house,5.0,expense,Transfer
16 Aug 2025,To Holiday,5.0,expense,Transfer
17 Aug 2025,From Theo new house,150.0,income,Transfer
17 Aug 2025,To Theo new house,10.0,expense,Transfer
17 Aug 2025,To Theo new house,0.9,expense,Transfer
17 Aug 2025,From Theo new house,20.0,income,Transfer
17 Aug 2025,To Theo new house,5.0,expense,Transfer
17 Aug 2025,To Holiday,5.0,expense,Transfer
18 Aug 2025,Tallaght Sports And L,90.0,expense,Uncategorized
18 Aug 2025,Dunnes Stores,45.91,expense,Transfer
18 Aug 2025,Payment from AIRBNB PAYMENTS LUXEMBOURG S.A.,279.3,income,Transfer
18 Aug 2025,To Holiday,5.0,expense,Transfer
18 Aug 2025,To Theo new house,5.0,expense,Transfer
18 Aug 2025,To Theo new house,7.7,expense,Transfer
18 Aug 2025,Clondalkin Leisure Centre,12.5,expense,Uncategorized
